phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,Prediction,Prediction_Label
8964528,https://hacksdigitais.com/spec/webmail-jp/index.html#aaaa@example.jp,http://www.phishtank.com/phish_detail.php?phish_id=8964528,2025-02-07T01:54:53+00:00,yes,2025-02-07T02:03:38+00:00,yes,Other,1,Phishing
8671107,https://bit.ly/4cOBISZ,http://www.phishtank.com/phish_detail.php?phish_id=8671107,2024-07-22T22:48:27+00:00,yes,2024-07-22T22:53:19+00:00,yes,Other,1,Phishing
8962478,https://seb.ytonihon.com.br,http://www.phishtank.com/phish_detail.php?phish_id=8962478,2025-02-05T08:20:43+00:00,yes,2025-02-05T08:22:12+00:00,yes,Other,1,Phishing
8974398,https://tech-us-trezor.teachable.com/,http://www.phishtank.com/phish_detail.php?phish_id=8974398,2025-02-14T21:25:57+00:00,yes,2025-02-14T21:32:21+00:00,yes,Other,0,Legit
8638713,https://tinyurl.com/456fdgdasdf,http://www.phishtank.com/phish_detail.php?phish_id=8638713,2024-07-03T04:23:59+00:00,yes,2024-07-03T04:53:27+00:00,yes,Other,1,Phishing
8876799,https://l.ead.me/bfaY4P,http://www.phishtank.com/phish_detail.php?phish_id=8876799,2024-11-29T06:05:57+00:00,yes,2024-11-29T06:22:03+00:00,yes,Other,1,Phishing
8636053,https://docs.google.com/presentation/d/e/2PACX-1vRI55n1Xv8mL1r5aIyj9k2XPYjRM7FROMcbEzOcc6eLJUQyjXvqzpjX8VdBjjBAnZhAGRxfqYHyh0KL/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8636053,2024-06-30T21:40:53+00:00,yes,2024-06-30T21:53:32+00:00,yes,Other,1,Phishing
8785667,https://qrco.de/bfR3VC,http://www.phishtank.com/phish_detail.php?phish_id=8785667,2024-09-28T19:39:10+00:00,yes,2024-09-28T19:52:59+00:00,yes,Other,1,Phishing
8542054,https://docs.google.com/presentation/d/e/2PACX-1vSznzPtWjyVLVpHGDnYh00TQZz46XQXtlS-1MhIxq3V9vpn5-xChHU3_JqJ14KcoeKXIdhSjLUGP5TD/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8542054,2024-04-18T15:33:14+00:00,yes,2024-04-18T15:42:43+00:00,yes,Other,1,Phishing
8731379,https://q-r.to/bfKwTo,http://www.phishtank.com/phish_detail.php?phish_id=8731379,2024-08-25T15:21:28+00:00,yes,2024-08-25T15:23:19+00:00,yes,Other,1,Phishing
